GPSTime,easting,northing,altitude,vel_east,vel_north,vel_up,roll,pitch,heading,angvel_z,angvel_y,angvel_x
1630597752823891245,-1294.6091356990719,1015.1807562685959,1.6186152830278797,-1.3920036337435293,0.9704297563171992,0.01986748134897817,0.02636031308546536,-0.02457665291522318,-1.745606868444327,-0.013374576790294135,0.003101401270812198,0.007182337034569061
1630597752927534250,-1294.7450194303476,1015.2749339516574,1.6200650771968437,-1.2332805221319862,0.8503274131397204,0.00754865226470003,0.02653340702818416,-0.025085838509874225,-1.744418844121151,-0.007242275845964389,-0.004191139480963648,0.0035818154078735885
1630597753031158250,-1294.8654424128597,1015.3573742071566,1.6208788565461003,-1.0917696616540467,0.7435853960449023,0.00786009367958584,0.02583517076803425,-0.02539568061068512,-1.7440480128083173,-0.0025410432311180316,-0.006781060932421376,-0.002273255404133795
1630597753134785259,-1294.9727422271328,1015.4302476677092,1.6213702633034808,-0.983496529298746,0.6658237996676049,-1.9811454633735136e-05,0.024828933856677053,-0.0261404547939665,-1.743386257770414,-0.010294010344458055,-0.015312005298521333,0.01208031052252442
1630597753238427580,-1295.071835529298,1015.4974291099007,1.621061189815183,-0.9347547957025801,0.639633867057689,-0.005855487175877752,0.022685690377644264,-0.02817495625983,-1.7422774514819277,-0.008127569919421295,-0.025187789342230107,0.02172042838203225
1630597753342054590,-1295.1682566756824,1015.5650391134462,1.6211078351833215,-0.9303406842167946,0.6662814607369382,0.005825527842321037,0.02107039467581281,-0.031002027088029113,-1.7418367076476604,-0.0033059786220051694,-0.012317985776965062,0.024436131532930734
1630597753445756540,-1295.2661512085779,1015.6351908275294,1.622313388301749,-0.9618606218034695,0.6847320558587834,0.015541217924263983,0.020745236624884086,-0.033176920300528275,-1.741284706081953,-0.010430479188390154,-0.0037029281846304514,0.009515040861532997
1630597753549479930,-1295.3676499340554,1015.7068652174921,1.6240004211885175,-0.9945519032371153,0.697741508376534,0.014875366671318665,0.021001016944370628,-0.0336234052907303,-1.7402154334149733,-0.010589961542059044,0.005270776194283035,-0.001071970888639819
1630597753653109910,-1295.4717398907426,1015.7792642042416,1.6252438205890551,-1.0138075670312012,0.6986891552411527,0.008621193088999756,0.02144141630555752,-0.03309850218921516,-1.7393761522907893,-0.005709467855142413,0.0044935468015545555,-0.00946165460148186
1630597753756820300,-1295.5772980099343,1015.8516050603433,1.6260277526110989,-1.021771150467491,0.6984832325395228,0.006849129339605309,0.021140412927860248,-0.03241934443979648,-1.7389313356932443,-0.002388519598117083,-0.004261997848874217,-0.00414348339677767
1630597753860544245,-1295.6835828296041,1015.924592270237,1.6268985037795733,-1.0274337843017098,0.7098731833129538,0.009193320829310216,0.0208261335899808,-0.03211431225445485,-1.7382697410262287,-0.0049738563165916926,-0.0029331295257031824,-0.0009804411014136946
1630597753964275539,-1295.7904014791252,1015.9994121303597,1.6278680380547104,-1.0322944088803816,0.733568810535687,0.008019393083892847,0.02085067313229735,-0.032248474262140524,-1.7374003006575502,-0.006633782469173108,0.0033517803402954667,0.004830073909756649
1630597754068092300,-1295.8982289558587,1016.0766183191445,1.6286101157138986,-1.0457073352373405,0.753601804280486,0.00485439709049255,0.021368743067831597,-0.03283458483596371,-1.7368381590725686,-0.004130230420501871,0.00453919326988483,0.01198307628167163
1630597754171907879,-1296.0090192763748,1016.1559680858331,1.628640461233283,-1.0915540929734424,0.7752205089552895,-0.005549595036229154,0.02156099527647317,-0.03417531351895384,-1.7363142900261022,-0.008886560785161635,-0.004768683697709721,0.014810751966545934
1630597754275626580,-1296.1267105313989,1016.2385468773223,1.6277585630899725,-1.1819398806889394,0.8216909125952168,-0.012003938729123755,0.020294039645800448,-0.03625905937177271,-1.7355219704426885,-0.00838893642071392,-0.023407801147219458,0.02047082401091243
1630597754379347300,-1296.2559242218788,1016.3286062530057,1.6264695954307575,-1.3141922667948116,0.9184139418614526,-0.012056478259181984,0.01822084732204161,-0.03920415600857784,-1.734797565734944,-0.00452344787626892,-0.025725747476796415,0.026503138563853022
1630597754483062250,-1296.4014190364996,1016.4305391126469,1.6257291807851746,-1.4939152310597654,1.0504752355422704,-0.0023064028896938008,0.016278349329949163,-0.041962543216815,-1.734063066527593,-0.009323652264355194,-0.018389357162628604,0.020761918564074375
1630597754586780300,-1296.566977753221,1016.5474532576776,1.6260096218881859,-1.698670342470695,1.2049442195665172,0.00792119843981255,0.01551376447888085,-0.04360901445006004,-1.73313409378333,-0.00719595111103544,-0.001788497283992085,0.010719352783265558
1630597754690493594,-1296.753870679715,1016.6804263901302,1.6275042788001868,-1.9046349185963278,1.3567386340109013,0.021261729662464268,0.01609646906613577,-0.044122745060009495,-1.732279477739062,-0.009179072318965815,0.007533361665232009,0.00019048775311186674
1630597754794218539,-1296.9613830475805,1016.827776922799,1.630150424601107,-2.0947423276433934,1.4837573966375384,0.03009975319564095,0.016862639896187977,-0.04346887371219914,-1.731300195377941,-0.010539600304808095,0.011771164699572123,-0.006541007553012575
1630597754897943584,-1297.1869966118413,1016.9872696974878,1.633590778287538,-2.2525792514089,1.5873096827807742,0.03638693957267142,0.017691272007451887,-0.04263987531358401,-1.7300560610821476,-0.014430789257185769,0.0013049775917487179,-0.006224298669527282
1630597755001574924,-1297.427691975656,1017.1582116768722,1.6378155202558047,-2.3952069388766897,1.7129480547148426,0.041168470110759296,0.018111522728896955,-0.042206222192367984,-1.7290801548439383,-0.007097691700236285,0.00787834896145801,-0.0022318327959684123
1630597755105304540,-1297.685116841891,1017.3425387839161,1.6405677997298498,-2.5724653578618017,1.8439738483279842,0.009965762426189297,0.019176225437540335,-0.04175554437992981,-1.7279371748767476,-0.013134044874833703,0.01875881950560403,-0.00491103616640879
1630597755209031245,-1297.9607886435504,1017.5395407368414,1.6411655440262514,-2.7418149536311374,1.9530264484729412,0.003585327051836547,0.020657557736360337,-0.040475700491302766,-1.726633538367086,-0.012771133790164823,0.006631261611123486,-0.014195654890500353
1630597755312663585,-1298.2529732637204,1017.7479245756149,1.6421093977820564,-2.8945546709280245,2.070432377617389,0.01571285958442069,0.02128953908156216,-0.03931263981230338,-1.725433066450164,-0.009884757351657369,0.010194928520659815,-0.0028191041201322473
